Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1999,Toy Story 2,American,"John Lasseter, Lee Unkrich, Ash Brannon","voices of Tom Hanks, Tim Allen, Annie Potts, Don Rickles",animation comedy family,https://en.wikipedia.org/wiki/Toy_Story_2,"Andy prepares to go to cowboy camp with Woody, but while playing with Woody and Buzz, he accidentally tears Woody's arm. Andy's mom puts Woody on a shelf, and Andy leaves without Woody. The next day, Woody finds that Wheezy has been shelved for months due to a broken squeaker. Andy's mother puts Wheezy in a yard sale, but Woody rescues him, only to be stolen by a greedy toy collector, who takes him to his apartment. Buzz Lightyear and the rest of Andy's toys identify the thief from a commercial to be Al McWhiggin, the owner of Al's Toy Barn. Buzz, Hamm, Mr. Potato Head, Slinky Dog, and Rex set out to rescue Woody.
At Al's apartment, Woody learns that he is based on a 1950s[9] television show called Woody's Roundup, and that along with the other Roundup toys – Jessie, Bullseye, and Stinky Pete the Prospector – he is set to be sold to a toy museum in Tokyo, Japan. While the others are excited about going, Woody intends to return home to Andy. Stinky Pete explains that the museum is only interested in the collection if it is complete, and without Woody, they will be returned to storage.
When Woody's arm is torn off completely, Woody attempts to retrieve it and escape, but is foiled when Al's television set turns on, and blames Jessie when he finds the TV remote in front of her. The next morning, Woody's arm is fixed by a toy repair specialist, and he learns that Jessie once belonged to Emily, who eventually outgrew her and gave her away. Stinky Pete warns him that the same fate awaits him when Andy grows up, whereas he will last forever in the museum. Woody decides to stay, now believing that all toys will eventually get discarded by their owners.
Meanwhile, Buzz and the other toys reach Al's Toy Barn. While searching for Woody, Buzz is imprisoned by a Utility Belt Buzz, who believes that Buzz is a rogue space ranger; he joins the other toys, who mistake him for Andy's Buzz. After discovering Al's plan, they go to his apartment, while Andy's Buzz escapes and pursues them, accidentally freeing an Emperor Zurg toy, who follows him with the intent of destroying him. After the toys find Woody, Buzz rejoins them and proves that he is Andy's Buzz, but Woody refuses to go home.
Buzz reminds Woody that a toy's true purpose is to be played with, which he would never experience in a museum. After seeing a boy play with him on television, Woody realizes that Buzz was right, and asks the Roundup gang to come home with him and Andy's toys. However, Stinky Pete declines and stops them from leaving, revealing that he wants to go to the museum to be appreciated forever, having never been sold or played with. He was also the one responsible for foiling Woody's earlier escape attempt and framing Jessie for it. Al then returns, takes the gang in a suitcase and leaves for the airport.
Andy's toys pursue Al, but are caught by Zurg, who battles Utility Belt Buzz, until Rex inadvertently knocks him off the elevator. Utility Belt Buzz then chooses to remain behind with Zurg, who has revealed himself as Buzz's father. Accompanied by three toy Aliens, Andy's toys steal a Pizza Planet delivery truck and follow Al to the airport, where they enter the baggage handling system and find the suitcase. Stinky Pete rips Woody's arm during a struggle, but Andy's toys stuff him into a little girl's backpack. They free Bullseye, only for Jessie to end up on the plane bound for Japan. Assisted by Buzz and Bullseye, Woody frees Jessie, and the toys find their way home.
When Andy returns from camp, he accepts Jessie, Bullseye, and the Aliens as his new toys, thinking that his mother bought them and repairs Woody's torn arm. Al's business has suffered due to him failing to sell the Roundup gang, while Wheezy's squeaker has also been fixed. Woody tells Buzz that he is no longer worried about Andy outgrowing him because, when he eventually does, they will still have each other for company."
1999,True Crime,American,Clint Eastwood,"Clint Eastwood, Isaiah Washington, Denis Leary",crime drama,https://en.wikipedia.org/wiki/True_Crime_(1999_film),"Steve Everett, an Oakland journalist recovering from alcoholism, is assigned to cover the execution of convicted murderer Frank Beechum following the death of Everett's colleague, Michelle Ziegler, who had originally been assigned to the story.
Everett investigates the background to the case and comes to suspect that Beechum has been wrongly convicted of murdering Amy Wilson. He gets permission from his editor's boss to investigate, and is told that the top editor would call the Governor, and that would do the job, if Everett gets hard proof. He thus has a little over 12 hours to confirm his hunch and save Beechum.
Everett interviews a prosecution witness, Dale Porterhouse, who saw Beechum at the store with a gun. Everett questions Porterhouse's account, saying that, because of the layout of the store, he could not have seen a gun in Beechum's hand.
Everett confronts D.A. Cecelia Nussbaum, who reveals that, a young man, Warren, was interviewed and claimed he had stopped at the store to buy a soda and saw nothing. Everett decides that Warren, never called as a witness, is probably the real killer. He breaks into the deceased reporter's house, suspecting that she had been onto something and finds her file on Warren. Meanwhile, Warden Luther Plunkett also starts to have doubts about Beechum's guilt.
Everett falls out with his bosses and is fired on the spot, but he points out that his contract entitles him to adequate notice. They ask him how much notice he requires, and, looking at his watch, he says 6 hours and 7 minutes. He tracks down Angela Russel, Warren's grandmother. She tells him that her grandson could not have been the murderer, and berates him for the lack of interest from the press when Warren himself was killed in a mugging two years after Amy's murder.
The prison chaplain misrepresents an exchange with Beechum as a confession to the crime. Everett hears about this on the radio and loses heart; on top of this, his wife Barbara has found out about his affair with his editor's wife and has turned him out of the house. He is about to start drinking again when he sees a piece on TV that shows a photograph of Amy wearing a locket, a locket he realizes he has seen before, being worn by Angela Russel.
Everett drives back to Angela's house. When he tells her about the locket she realizes the truth: her grandson was the killer. Everett now has to get Angela to the Governor's house in order to persuade him to order a stay of execution. As they approach the Governor's mansion, the first of three drugs used in the execution has already been injected into Frank's bloodstream and he has lost consciousness. The Governor calls, and the doctors try to revive him, while his wife Bonnie bangs on the window calling out for him to wake up.
Six months later, a week before Christmas, Everett is out buying a stuffed hippo for his daughter, and the store's proprietor mentions that he is famous and may even win a Pulitzer. He catches sight of Frank and his family doing their Christmas shopping. Steve and Frank acknowledge each other, but Frank's daughter shouts for him to ""come on,"" which Frank does."
1999,Tumbleweeds,American,Gavin O'Connor,"Janet McTeer, Kimberly J. Brown, Gavin O'Connor",drama,https://en.wikipedia.org/wiki/Tumbleweeds_(1999_film),"The story revolves around Mary Jo Walker, a single mother whose usual reaction to trouble is to pack her car with her belongings and take her pre-teen daughter Ava in search of greener pastures. The film commences with a strong-willed Mary-Jo in an altercation with a man. As this is something which is routine in Ava's life, she packs a suitcase as she prepares herself for their inevitable departure.
Mother and daughter embark upon a journey. When a reunion with an old beau in Missouri proves to be less successful than anticipated, Mary Jo accedes to Ava's desire to see the Pacific Ocean and heads west. Mary Jo wishes to separate herself from her old life, which is manifested when she and her daughter throw the former's clothing from the car window. En route they are assisted by long-distance trucker Jack Ranson, who coincidentally re-enters their lives after they have settled in San Diego. Once again, Mary Jo forgoes both her independence and daughter's well-being in favor of having a man in her life. She quits her office job. On face value, Ava's life has changed for the better. For example, she makes friends with a girl in her class (although they later part ways when the girl becomes jealous of Ava's acting talents). Ava also secures a starring role as Romeo in the school play, ""Romeo and Juliet"". Lastly, Ava is ecstatic when she finds a boyfriend, who takes her to watch a movie. Matters, however, become complicated when Jack becomes verbally aggressive towards Mary Jo. Jack exhibits his true personality when he takes Mary Jo and Ava to a fine dinner and becomes infuriated by Ava's attitude. Ava, however, is just excited about the prospect of having a leading role in the play.
When Ava and Mary Jo flee the restaurant, they spend the night in a motel, a scenario with which both mother and daughter are familiar. The next day, Mary Jo is adamant that the two leave town, with only their clothing on their backs. Ava decides to put her foot down and rebel. She tells her mother that she is tired of moving from state to state and is frustrated by her mother's carefree attitude. Although Mary Jo is at first furious at Ava's refusal to cooperate, Mary Jo then realizes that there is the need to make significant changes in their lives. She finally accepts that her behavior has had severe negative repercussions on her daughter.
Toward the end of the movie, Ava and her mother stay at a house that a friend of Mary Jo's has loaned to them. Ava rebuilds her friendship with the same girl in her class. Lastly, both she and her mother start to rebuild their lives together. Mary Jo gets a job at a plant nursery and also moves in with her former office boss, a sympathetic widower who had been concerned about them."
1999,Twin Falls Idaho,American,Michael Polish,"Mark Polish, Michael Polish, Michele Hicks",drama,https://en.wikipedia.org/wiki/Twin_Falls_Idaho_(film),"The film portrays the lives of shy conjoined twins Blake and Francis Falls, who take residence in a rundown hotel to hopefully reunite with their estranged birth mother. They find their gateway to the outside world through an eccentric young prostitute named Penny. They agree to attend a Halloween party with Penny and pretend to be wearing a ""Siamese Twins"" costume. The rest of the movie involves the brothers dealing with Francis's health problems, the changing relationship between the brothers, and Blake's budding relationship with Penny. Ultimately Francis's health deteriorates too far and the twins have to be separated. Francis is too sick to survive and dies, but Blake survives and must begin a life apart from his twin. Penny visits him and the two start a relationship."
1999,Universal Soldier: The Return,American,Mic Rodgers,"Jean-Claude Van Damme, Michael Jai White",action,https://en.wikipedia.org/wiki/Universal_Soldier:_The_Return,"Seven years after the events in the first film, Luc Deveraux (Jean-Claude Van Damme), now an ordinary human after having had his cybernetic implants removed, is a technical expert who is working for the US government with his partner Maggie (Kiana Tom), who has been through countless hours of combat training with him. They work to refine and perfect the UniSol program in an effort to make a new, stronger breed of soldier that is more sophisticated and intelligent to reduce the use of normal, human soldiers in the battlefield. All of the new UniSols, which are faster and stronger than the original UniSols, are connected through an artificially intelligent computer system called S.E.T.H. (Self-Evolving Thought Helix).
When S.E.T.H. discovers that the Universal Soldier program is scheduled to be shut down because of budget cuts, it takes action to protect itself. Killing those who try to shut off its power, and unleashing a platoon of super soldiers, led by the musclebound Romeo (Bill Goldberg), S.E.T.H. spares Devereaux, only because Devereaux has the secret code that is needed to deactivate a built-in program that will shut S.E.T.H. down in a matter of hours. With the help of Squid (Brent Hinkley), a rogue cyberpunk, S.E.T.H. is able to put its program in a UniSol which Squid made superior to any of the newer models (Michael Jai White). A team of four UniSols massacre most of the troops stationed outside the premises. Luc goes in later with a team of United States Army Rangers, but most of them are killed when a UniSol sentry sees them sneaking into the building
Not only must Luc contend with ambitious reporter Erin Young (Heidi Schanz), who will not leave his side, but he must also contend with General Radford (Daniel von Bargen) who wants to take extreme measures to stop S.E.T.H.. S.E.T.H. has arranged Romeo to kidnap Luc's injured 13-year-old daughter Hillary (Karis Paige Bryant), killing Maggie in the process.
However, Luc is the only person who can rescue Hillary, because Luc knows firsthand how a UniSol thinks, feels, and fights. Luc infiltrates the UniSol building again, but finds Maggie, now revived as one of the UniSols. S.E.T.H is able to figure out the code itself, decides to kill Luc and raise Hillary as a daughter, who it has healed using UniSol technology. During the fight Luc covers S.E.T.H. in liquid nitrogen and then shatters S.E.T.H.'s frozen body. Luc and Hillary leave the lab and head towards the exist, but find Romeo waiting for Luc. Luc then engages into a final fight with Romeo, which ends when Maggie finally rebels against the UniSols by shooting Romeo, and allows Luc and Hillary to get out of the building on time. However, the bomb that General Radford had placed was deactivated by S.E.T.H. As Romeo and the other UniSols start to march out for battle, Luc fires at the explosive charge, blowing up the building, killing all UniSols and destroying their laboratory."
1999,Varsity Blues,American,Brian Robbins,"James Van Der Beek, Jon Voight, Paul Walker, Amy Smart, Scott Caan, Ron Lester, Ali Larter, Eliel Swinton","comedy, drama, sports",https://en.wikipedia.org/wiki/Varsity_Blues_(film),"Jonathan ""Mox"" Moxon (James Van Der Beek) is an intelligent and academically gifted backup quarterback for the West Canaan High School football team. Despite his relative popularity at school, easy friendships with other players and smart and sassy girlfriend Jules Harbor (Amy Smart), he is dissatisfied with his life. He wants to leave Texas to go to school at Brown University. He is constantly at odds with his football-obsessed father, Sam (Thomas F. Duffy), and dreads playing it under legendary coach Bud Kilmer (Jon Voight), a verbally abusive, controlling authoritarian who believes in winning at all costs. He has a strong track record as coach: in 30 years of coaching at West Canaan, he has won two state titles and 22 district championships, and only cares about winning his 23rd. His philosophy finally takes its toll on all-state starting quarterback, Lance Harbor (Paul Walker), Mox's best friend and Jules's brother, who has earned a football scholarship to play for Florida State. He is manipulated by Kilmer into taking anesthetic shots on an injured knee that finally succumbs to failure and results in even greater injury after getting sacked during a game. He is rushed to the hospital, where doctors are appalled at the massive amount of scar tissue found under his knee and determine that the effects of the injury are permanent and will prevent him from being able to play football for a year and a half, costing him his FSU scholarship.
Mox, who has accompanied Lance to the hospital, is shocked when Kilmer feigns ignorance to Lance's doctors about his knee problems, when in fact Kilmer ordered the trainer to inject the shots. In need of a new quarterback, he reluctantly names Mox to replace Lance as captain and starting quarterback. The move brings unexpected dividends for him, one of them being Darcy Sears (Ali Larter), Lance's cheerleader girlfriend, who is interested in marrying a football player in order to escape small-town life. She even goes so far as to attempt to seduce Mox, sporting a ""bikini"" made of whipped cream over her otherwise naked body, but he rebuffs her as politely as he can and helps to cheer her up by telling her that she can get out of West Canaan on her own without anyone's help.
Disgusted with Kilmer and not feeling a strong need to win, Mox starts calling his own plays on the field without Kilmer's approval and takes his group of friends and teammates, including Lance, out to a strip club on the night before a game, which they subsequently lose due to poor play from still being hungover. He also chides his father, Sam, screaming at him, ""I don't want your life!"" Sam had been a football player at West Canaan under Kilmer and although Kilmer dismissed him as having no talent nor courage, he still respected and obeyed him. When Kilmer becomes aware that Mox has earned a full academic scholarship to Brown, he threatens him that if he continues to disobey and disrespect him, he will alter his transcripts in order to reverse the decision on his scholarship.
Kilmer's lack of concern for his players continues, resulting in an emotional breakdown of offensive guard, Billy Bob (Ron Lester), who had suffered a head injury weeks earlier (Billy Bob had missed a block when he passed out on the field as a result of this injury after Kilmer pressured him out onto the field, which allowed the hit on Lance that crippled his knee, in which Kilmer blames him for). When starting tailback Wendell Brown (Eliel Swinton), another friend of Mox's, is injured on the field during the final game of the season, Kilmer pressures him during halftime into taking a shot of cortisone, as he had done with Lance, to deaden the pain from his injury and allow him to continue at the risk of permanent injury. Desperate to be recruited by a good college, Wendell agrees. Mox intervenes and threatens Kilmer that he'll quit the team if the needle enters Wendell's knee. Undaunted, Kilmer reminds him about altering his transcripts and orders Charlie Tweeder (Scott Caan), starting wide receiver and friend of Mox, Lance and Wendell, to replace Mox, but he also quits. Billy Bob also steps in to defend his teammates. Mox tells Kilmer that the only way they will return to the field for the second half is without him. Realizing that he will be forced to forfeit the game, he loses control and physically assaults Mox. The other players intercede and then refuse to take to the field. Knowing his loss of control has cost him his credibility, Kilmer tries in vain to rally support and spark the team's spirit into trusting him, but none of the players follow him out of the locker room. He continues down the hall, and upon seeing that no one following him, turns the other direction and into his office. After an inspiring speech from Mox to rally the team, they take the field under the leadership of Lance, who takes over coaching duties for the second half, and manage to win the game.
In a voice-over epilogue, Mox recounts several characters' aftermaths, including the fact that Kilmer left town and never coached again despite his statue still standing (only because it was too heavy to move). Lance became a successful coach (presumably Head Coach for the Coyotes after Kilmer's departure), Wendell earned a football scholarship to Grambling, and Mox took his scholarship and graduated from Brown University, but he never played football again."
1999,The Virgin Suicides,American,Sofia Coppola,"James Woods, Kathleen Turner, Kirsten Dunst, Josh Hartnett, A. J. Cook",drama,https://en.wikipedia.org/wiki/The_Virgin_Suicides_(film),"In the suburbs of Grosse Pointe, Michigan, during the mid-1970s, a group of neighborhood boys—now grown men—reflect upon their memories of the five Lisbon sisters, ages 13 to 17. Unattainable due to their Catholic and overprotective parents, math teacher Ronald and his homemaker wife, the girls—Therese, Mary, Bonnie, Lux, and Cecilia—are an enigma that fill the boys' conversations and dreams.
During the summer, the youngest sister, Cecilia, slits her wrist in a bathtub, but survives. After her parents allow her sisters to throw a chaperoned basement party intended to make her feel better, she excuses herself and jumps out of her second story bedroom window, dying when she is impaled on an iron fence below. In the wake of her act, the Lisbon parents watch over their four remaining daughters even more closely. This further isolates the family from the community and heightens the air of mystery surrounding the girls, to the neighborhood boys in particular.
At the beginning of the new school year in the fall, Lux forms a secret and short-lived romance with Trip Fontaine, the school heartthrob. Trip comes over one night to the Lisbon residence in hopes of getting closer to Lux and watches television with the family. Trip persuades Mr. Lisbon to allow him to take Lux to the upcoming Homecoming Dance by promising to provide dates for the other sisters. After winning king and queen, Trip persuades Lux to ditch the group and have sex on the football field. Afterwards, Lux falls asleep, and Trip abandons her. At dawn, Lux wakes up alone and has to take a taxi home.
Having broken curfew, Lux and her sisters are punished by a paranoid Mrs. Lisbon by being taken out of school and confined to the house. The sisters contact the boys across the street by using light signals and sharing songs over the phone.
During this time, Lux rebels against her repression and becomes overtly promiscuous, having anonymous sexual encounters on the roof of her house late at night; the neighborhood boys spy from across the street. After weeks of confinement, the sisters leave notes for the boys. The boys call the girls and reach them by phone, and the two groups take turns playing songs over the line. When the boys arrive that night, they find Lux alone in the living room, smoking a cigarette. She invites them inside to wait for her sisters, while she goes to start the car.
Curious, the boys wander into the basement after hearing a noise and discover Bonnie's body hanging from the ceiling rafters. Horrified, they rush back upstairs only to stumble across the body of Mary in the kitchen. The boys realize that the girls had all killed themselves in an apparent suicide pact: Bonnie hanged herself; Mary died by putting her head in the gas oven; Therese overdosed on sleeping pills; and Lux died of carbon monoxide poisoning after she left the car engine running in the garage.
Devastated by the suicides, Mr. and Mrs. Lisbon leave the neighborhood. Mr. Lisbon has a friend clean out the house and sell off the family belongings in a yard sale. Whatever did not sell was put in the trash, including the family photos, which the neighborhood boys collect as mementos. The house is sold to a young couple from the Boston area. The adults in the community go about their lives as if nothing happened. The men acknowledge that they had loved the girls, and that they will never know why the sisters took their lives."
1999,Virus,American,John Bruno,"Jamie Lee Curtis, William Baldwin, Donald Sutherland","science fiction, horror",https://en.wikipedia.org/wiki/Virus_(1999_film),"Akademik Vladislav Volkov, a Russian research vessel in the South Pacific, communicates with the orbiting space station Mir. A large energy source traveling through space strikes Mir, killing the cosmonauts and beaming itself down to Volkov. The electrical surge takes over the ship and attacks the crew.
Seven days later, the tugboat Sea Star, captained by alcoholic Robert Everton (Donald Sutherland), loses its uninsured cargo while sailing through a typhoon. Sea Star's crew, led by navigator and ex-Navy officer Kelly Foster (Jamie Lee Curtis) and engineer Steve Baker (William Baldwin), discover the engine room taking on water. When Sea Star takes refuge in the eye of the storm to make repairs, Volkov appears on their radar. Realizing that it could be worth millions in salvage, Everton orders his crew aboard.
On Volkov, most of the electronics have been destroyed and the Russian crew are seemingly missing. Everton orders Steve to help a fellow crewman, Squeaky (Julio Oscar Mechoso), restore power to the ship. Immediately afterward, the ship's anchor drops on its own, sinking Sea Star with deckhand Hiko (Cliff Curtis) and first mate J.W. Woods, Jr. (Marshall Bell) on board. Steve leaves Squeaky to guard the engine room, where he is lured to his death by a robotic, spider-like creature. Steve rescues an injured Hiko, while Woods comes out unscathed.
As Foster treats Hiko in the sick bay, Chief Science Officer Nadia Vinogradova (Joanna Pacuła)—the sole surviving member of Volkov's crew—shoots at the crew and is subdued by Steve. Nadia is hysterical about ""it"" needing power to travel through the ship and implores the crew to shut down the generators. She attacks Everton and Foster, who subdues her and takes her to the bridge. Steve, Woods, and crewman Richie Mason (Sherman Augustus) go to the engine room to look for Squeaky, but instead stumble upon an automated workshop producing more of the strange robots.
The three are attacked by the robots and what appears to be a gun-wielding Russian crew member. The Russian is revealed to be a cyborg, but the three bring it down with salvaged munitions and take its seemingly dead body to the bridge. Nadia explains that the sentient electrical energy beamed from the Mir took over the ship eight days prior, scanned the ship's computers to find information on killing humans, then used the automated workshops to convert Volkov's crew into cyborgs; the one brought to the bridge was the ship's captain and Nadia's husband.
As the storm resumes, the crew head for the computer room. On the way, they are ambushed by a converted Squeaky and a giant robot that kills Woods. The survivors barricade themselves in the communications room, where Richie sends out a mayday; however, Everton shoots out the radio, unwilling to give up his salvage. Foster punches Everton and removes him from command. Richie uses the computers to talk to the alien; it tells them that it is ""aware"" and sees mankind as a ""virus"" which it plans to use as ""spare parts."" This drives Richie insane, causing him to gun down Squeaky and flee. When the remaining crew leave the room, Everton takes the opportunity to talk to the alien, which recognizes him as the ""dominant lifeform.""
The crew discovers that the alien has moved Volkov 's computer elsewhere in the ship. Realizing that the ship is moving, they return to the bridge by going outside, where Hiko is lost to the typhoon. Meanwhile, Everton is guided to one of the workshops, where he makes a bargain with the alien. Foster identifies Lord Howe Island as Volkov's destination, with Nadia surmising that the alien wishes to seize a British intelligence station from which it could seize control of the world's military forces. As they decide to sink Volkov, the survivors are confronted by the now-cyborg Everton, which they defeat with a thermite hand grenade. They empty the ship's fuel tanks and set explosive charges.
Foster, Steve and Nadia run into Richie. A giant robot suddenly appears and attacks Nadia, Richie and Steve. The robot captures Foster and tortures her for the location of the detonator. A mortally wounded Richie informs Steve that he prepared a jury-rigged ejection seat that can be used for escape. Nadia and Steve rescue Foster, and Nadia sacrifices herself by shooting a flaregun at nearby gas tanks to kill the robot. As Foster and Steve make it out safely by using Richie's ejection seat, which triggers an explosion and sinks Volkov, causing the sentient electricity to disperse in the seawater. Foster and Steve are rescued by a U.S. naval ship."
1999,The Waiting Game,American,Ken Liotti,"Will Arnett, Dwight Ewell",comedy,https://en.wikipedia.org/wiki/The_Waiting_Game_(film),A group of aspiring young actors wait tables at the New York restaurant.
1999,Wakko's Wish,American,3 directors,,animation,https://en.wikipedia.org/wiki/Wakko%27s_Wish,"In the town of Acme Falls within the kingdom of Warnerstock, all the people (and a Mime) live happily together. However, upon the death of their beloved king, Sir William the Good, Warnerstock enters a state of civil war. Taking advantage of the situation, the neighboring kingdom of Ticktockia, led by King Salazar the Pushy, takes over Warnerstock, and makes all its people poor and miserable due to overtaxing (which, ironically, is a parody of the 1989-1990 merger of Time, Inc., publishers of the ""Time"" magazine, and Warner Communications, owners of the Warner Bros studio, forming the Time Warner media conglomerate). Three orphans, Yakko, Wakko, and Dot Warner, are particularly troubled, as Dot needs an operation. Wakko finds work in another town to pay for it, but Plotz takes his pay – a half penny – from him, lying that it is for taxes.
Wakko, saddened about Dot's illness and finding no other choice, wishes upon a star. A fairy (who calls himself a ""desire fulfillment facilitator"" or ""Pip"") falls from the star and explains that Wakko had just chosen the only wishing star in the sky. The star itself [which Rita and Runt witness] falls shortly after in the mountains and the fairy tells Wakko whoever touches the star first gets one wish. The following morning, the siblings tell the whole town about the star in their excitement, and all rush towards the glow in the mountains. King Salazar finds out about the star, orders Taxman Plotz to stop the Warners from reaching the star alive, and orders his troops to secure it.
Plotz does not stop the Warners from reaching the star at the same time as all the other townsfolk. However, the King's army has already built a military base around the star, and a small ice palace to the side of it, and the townspeople (including Plotz) are all captured and locked up so that the King may have his wish. The Warners hint that the wishing process is not as simple as the king thinks in a desperate bluff. The King captures the Warners and tortures them in outlandish ways (from a terrible singer, a filthy gas station bathroom, and Baloney the Dinosaur (who is a parody of Barney the Dinosaur). The Warners tell the King any wish he makes could have an ironic twist and demonstrate this to his annoyance. He orders the Warners executed, but Dot uses her charms to save them. The Warners escape.
As the King is about to make his wish (for the Warners to leave him alone), the Warners show up, and he tries shooting them himself with a cannon. He misses, but Dot seems mortally wounded by the force of the explosion created when the cannonball hits the ground. Wakko seizes his chance to head to the star, and Yakko drops behind, trying to convince Dot that she can make it. Yakko then tells Dot the story of how Dot was born one last time. Dot appears to die, causing the people of Acme Falls to cry in sorrow, along with some of the royal army, who become furious with King Salazar for his cruel nature. As everyone turns on the King (who seemingly appears a little remorseful), Wakko reaches the star. Dot reveals that she had been acting and was not actually injured/dead; the two were buying time for Wakko. Wakko wishes for two ha'pennies.
Wakko uses the second of these to buy food and ""season tickets for the Lakers"". The first one pays for Dot's operation, which is revealed to be a plastic surgery to give her a beauty mark. Wakko's first half penny, however, returns prosperity to the town as the butcher, the baker, and the grocer spend the money they earned, and the people from whom they make purchases in turn do the same.
The hospital finds Yakko, Wakko, and Dot's birth certificates, and reveals they are the heirs to the throne. Their parents, seen for the first and only time in a portrait, were the king and queen of Warnerstock. They (literally) boot Salazar out of their palace, and he is attacked by his own dogs. The Warners use their newfound royal authorities to grant the citizens of Acme Falls their wishes - except for the town Mime (who is promptly crushed by a safe and Yakko stating, ""I don't know about him, but that sure was my wish!""). Yakko then spins the Wheel of Morality, which specifies the moral of the story is ""just cheer up and never ever give up hope""."
1999,A Walk on the Moon,American,Tony Goldwyn,"Diane Lane, Viggo Mortensen, Liev Schreiber, Anna Paquin",drama,https://en.wikipedia.org/wiki/A_Walk_on_the_Moon,"Pearl Kantrowitz (Diane Lane) and her husband Marty (Liev Schreiber) are a lower middle class Jewish couple in New York City, where Marty is a television repairman. The movie begins with the couple and their family including their teenage daughter Alison (Anna Paquin) and young son Danny (Bobby Boriello) and Marty's mother Lillian (Tovah Feldshuh) going to their summer camp retreat, Dr. Fogler's Bungalows, which they attend each summer.
Marty is forced to work away from home and hence, he only visits the family on weekends. This leaves Pearl feeling lonely and isolated. Pearl got pregnant at the age of 17 and she feels she missed enjoying her youth. With the absence of Marty, Pearl is attracted to the new ""Blouse Man"" Walker Jerome (Viggo Mortensen). Meanwhile, Alison is neglected and she experiences her first period, her first date, and her first kiss as she enters a relationship with another boy at the camp, Ross Epstein.
Marty is unable to visit the family because he has to repair more TV sets than usual, due to the impending moon landing. While the whole town celebrates the historic moonwalk, Pearl has sex with Walker. Marty's mother Lillian learns of the affair and tries to persuade Pearl to break it off. The affair continues when Marty cannot get up to visit on the weekend because of the traffic jam caused by the Woodstock festival, which is within walking distance of the bungalow colony. Pearl goes to the festival, and unbeknownst to her, Alison goes as well with Ross and her friends despite her mother previously forbidding it. Alison becomes upset after seeing Pearl and Walker carousing while on LSD.
Marty learns of the affair and confronts Pearl while Alison confronts her mother in an emotional scene. Pearl is forced to deal with her love of her family and her conflicting yearning for marital freedom.
Pearl finally makes her decision to stay with Marty and tells Walker she cannot go away with him. Walker says he understands. The final scene shows Pearl and Marty dancing together, first to Dean Martin's ""When You're Smiling"" and then to Jimi Hendrix's ""Purple Haze"", after Marty changes the station."
1999,Walking Across Egypt,American,Arthur Allan Seidenman,"Ellen Burstyn, Jonathan Taylor Thomas, Mark Hamill",comedy,https://en.wikipedia.org/wiki/Walking_Across_Egypt,"The film follows the life of Mattie Rigsbee (Ellen Burstyn), an elderly woman who believes in strong religious convictions. The film explores the lonely qualities of life for senior citizens after their children leave as adults. Judge Reinhold and Gail O'Grady play Mattie's children who live in a deep southern town.
Mattie soon finds a likable friend in the local dogcatcher, Lamar Benfield (Mark Hamill). It is through this relationship in which she meets the dogcatcher's nephew, a troubled, foul-mouthed, orphaned juvenile delinquent, Wesley (Jonathan Taylor Thomas), currently serving time in juvenile detention for a recent car theft. Mattie finds that this young man is just missing direction and believes that with a little insight on Christianity he can straighten up and fly right."
1999,Whiteboyz,American,Danny Hoch,,independent,https://en.wikipedia.org/wiki/Whiteboyz,"The plot centers upon the coming of age and misadventures of three white youths from the small town of Holyoke, Iowa who, having been seduced by the fast money and easy women of the gangsta rap lifestyle, yearn to be African American.[2] The trio of would-be hoodlums ventures to Cabrini–Green housing project in Chicago, Illinois, where they have crossovers with gangstas and the police in the climactic finale, the irrepressible leader of the white hoodlums is beaten up and they went back to Iowa and decided to stay there.[3]"
